n
"(:Book {pub_date: ""1925"",author: ""F. Scott Fitzgerald"",price: 10,genre: ""Classic"",title: ""The Great Gatsby""})"
"(:Book {pub_date: ""1960"",price: 12,author: ""Harper Lee"",genre: ""Fiction"",title: ""To Kill a Mockingbird""})"
"(:Book {pub_date: ""1997"",price: 15,author: ""J.K. Rowling"",genre: ""Fantasy"",title: ""Harry Potter and the Philosopher's Stone""})"
"(:Book {pub_date: ""1949"",price: 11,author: ""George Orwell"",genre: ""Dystopian"",title: ""1984""})"
"(:Customer {address: ""123 Main St, City, Country"",name: ""Alice"",payment: ""Credit Card"",email: ""alice@example.com""})"
"(:Customer {address: ""456 Oak St, Town, Country"",name: ""Bob"",payment: ""PayPal"",email: ""bob@example.com""})"
"(:Order {date: ""2024-05-15"",total: 37,order_id: ""ORD001"",status: ""Processing""})"
"(:Order {date: ""2024-05-16"",total: 28,order_id: ""ORD002"",status: ""Shipped""})"
"(:Inventory {quantity: 50,book_id: 1})"
"(:Inventory {quantity: 30,book_id: 2})"
"(:Inventory {quantity: 40,book_id: 3})"
"(:Inventory {quantity: 20,book_id: 4})"
"(:Review {rating: 4,comment: ""Great book, highly recommended!"",book_id: 1,customer_name: ""Alice""})"
"(:Review {rating: 5,comment: ""One of the best classics I've read"",book_id: 1,customer_name: ""Bob""})"
"(:Review {rating: 5,comment: ""Amazing storytelling, a must-read"",book_id: 2,customer_name: ""Alice""})"
"(:Review {rating: 4,comment: ""Captivating world and characters"",book_id: 3,customer_name: ""Bob""})"
"(:Discount {amount: 25,code: ""SPRING25""})"
"(:Discount {amount: 20,code: ""SUMMER20""})"
"(:Discount {amount: 30,code: ""FALL30""})"
"(:ShippingProvider {service_type: ""Express"",name: ""UPS""})"
"(:ShippingProvider {service_type: ""Standard"",name: ""FedEx""})"
"(:ShippingProvider {service_type: ""Priority Mail"",name: ""USPS""})"
