n
"(:Student {name: ""John"",age: 20})"
"(:Student {name: ""Alice"",age: 22})"
"(:Student {name: ""Bob"",age: 21})"
"(:Course {credits: 4,name: ""Mathematics""})"
"(:Course {credits: 3,name: ""Computer Science""})"
"(:Professor {name: ""Dr. Smith""})"
"(:Professor {name: ""Prof. Johnson""})"
"(:Department {name: ""Computer Science""})"
"(:Department {name: ""Mathematics""})"
"(:Professor {name: ""Dr. Smith"",department: ""Computer Science""})"
"(:Professor {name: ""Prof. Johnson"",department: ""Computer Science""})"
"(:Professor {name: ""Dr. White"",department: ""Mathematics""})"
"(:Course {name: ""Introduction to Programming"",department: ""Computer Science""})"
"(:Course {name: ""Data Structures"",department: ""Computer Science""})"
"(:Course {name: ""Calculus"",department: ""Mathematics""})"
"(:Course {name: ""Linear Algebra"",department: ""Mathematics""})"
"(:Assignment {grade: 92,due_date: ""2024-05-20"",name: ""Programming Project 1""})"
"(:Assignment {due_date: ""2024-05-25"",name: ""Data Structures Assignment 1""})"
"(:Assignment {grade: 78,due_date: ""2024-05-30"",name: ""Calculus Quiz 1""})"
